subj_idx,status,runid,condition,cue,coherence,image_index,stim,rt,response,stimulus_side
1,outside,2,2,invalid,high,3,0,0.3894009167979679,1,0
1,outside,2,4,invalid,low,59,1,0.43760334624857894,1,0
1,outside,2,1,valid,high,24,1,0.344491027946788,1,0
1,outside,2,3,valid,low,52,0,0.43552510869085403,1,0
1,outside,2,2,invalid,high,24,1,0.342943107534666,1,0
1,outside,2,1,valid,high,9,0,0.38716441033102506,1,0
1,outside,2,3,valid,low,65,1,0.46244483228292704,1,0
1,outside,2,1,valid,high,18,0,0.335106603555687,1,0
1,outside,2,1,valid,high,26,1,0.268191915511125,1,1
1,outside,2,3,valid,low,66,1,0.40164204084067,1,1
1,outside,2,4,invalid,low,51,0,0.346516588815575,1,0
1,outside,2,4,invalid,low,63,1,0.41820837557497703,1,1
1,outside,2,4,invalid,low,45,0,0.4328137581869671,1,1
1,outside,2,1,valid,high,5,0,0.41014480926969604,1,1
1,outside,2,3,valid,low,49,0,0.488449673772266,1,1
1,outside,2,2,invalid,high,36,1,0.342021408536311,1,1
1,outside,2,2,invalid,high,26,1,0.41130903051998796,1,1
1,outside,2,2,invalid,high,17,0,0.40126495954064006,1,0
1,outside,2,3,valid,low,58,1,0.60263374985152,1,0
1,outside,2,4,invalid,low,57,1,0.547393196788107,1,0
1,outside,2,2,invalid,high,33,1,0.3876429389783879,1,1
2,inside,1,2,invalid,high,21,1,0.6990090315706821,1,0
2,inside,1,1,valid,high,32,1,0.6051095604807409,1,0
2,inside,1,1,valid,high,7,0,0.61938452784463,1,1
2,inside,1,2,invalid,high,2,0,0.6006876799377211,1,0
2,inside,1,4,invalid,low,66,1,0.6900365785052429,1,1
2,inside,1,3,valid,low,64,1,0.7145515797053009,1,0
2,inside,1,1,valid,high,8,0,0.677770722326613,1,1
2,inside,1,2,invalid,high,12,0,0.7617098007879409,1,0
2,inside,1,3,valid,low,38,0,0.7439092988063291,1,0
2,inside,1,1,valid,high,22,1,0.584390753879745,1,1
2,inside,1,4,invalid,low,43,0,0.836853666368143,0,0
2,inside,1,1,valid,high,25,1,0.624684877914603,1,1
2,inside,1,2,invalid,high,27,1,0.561187512220272,1,0
2,inside,1,2,invalid,high,34,1,0.674137292402065,1,1
2,inside,1,1,valid,high,34,1,0.56030141959809,1,1
2,inside,1,4,invalid,low,70,1,0.7044301344081422,1,1
2,inside,1,2,invalid,high,22,1,0.535516547537497,1,1
2,inside,1,3,valid,low,58,1,0.58783103358445,1,0
2,inside,1,2,invalid,high,1,0,0.6150428191754139,1,1
2,inside,1,4,invalid,low,62,1,0.5822963828056229,1,0
2,inside,1,3,valid,low,65,1,0.48815948613480503,1,0
2,inside,1,1,valid,high,2,0,0.652599353717051,1,0
2,inside,1,3,valid,low,46,0,0.6785638453253001,1,0
2,inside,1,2,invalid,high,17,0,0.604981015144347,1,1
2,inside,1,4,invalid,low,46,0,0.6636643862360639,1,1
2,inside,1,4,invalid,low,45,0,0.6140934926795579,1,1
2,inside,1,4,invalid,low,71,1,0.7101023392634721,0,1
2,inside,1,3,valid,low,42,0,0.5619666578856479,0,0
2,inside,1,3,valid,low,56,1,0.6224388662533901,1,1
2,inside,1,1,valid,high,10,0,0.597459321637018,0,1
2,inside,1,1,valid,high,11,0,0.531206848902116,1,1
2,inside,1,3,valid,low,49,0,0.540257746907628,1,1
2,inside,1,4,invalid,low,51,0,0.629207858719269,1,0
2,inside,1,4,invalid,low,64,1,0.8532142120791381,1,0
2,inside,1,1,valid,high,1,0,0.610333858730996,1,0
2,inside,1,1,valid,high,18,0,0.5710407831497829,1,0
2,inside,1,2,invalid,high,6,0,0.667469880519548,0,1
2,inside,1,1,valid,high,28,1,1.10589525093224,1,1
2,inside,1,4,invalid,low,63,1,0.6817283304941381,1,1
2,inside,1,1,valid,high,33,1,0.618776528629041,1,0
