,subj_idx,status,runid,condition,cue,coherence,image_index,stim,response,rt,accuracy,stimulus_side,Sn_vals,med_dists,Outliers
199,1,outside,2,1,valid,high,16,0,0,0.46788983250007704,1,0,0.090001,0.08072542216905199,False
200,1,outside,2,4,invalid,low,46,0,0,0.431787056604662,1,1,0.090001,0.07107383767652198,False
201,1,outside,2,4,invalid,low,69,1,1,0.7000057570421631,1,1,0.090001,0.26410231314184807,False
202,1,outside,2,1,valid,high,34,1,1,0.483136525746886,1,1,0.090001,0.088493712408308,False
203,1,outside,2,3,valid,low,39,0,0,0.6199324480494399,1,1,0.090001,0.18689307301428987,False
204,1,outside,2,4,invalid,low,58,1,1,0.556114588529454,1,0,0.090001,0.12755071683022895,False
205,1,outside,2,3,valid,low,54,0,0,0.620332706794215,1,1,0.090001,0.18729333175906498,False
207,1,outside,2,4,invalid,low,37,0,0,0.611365175367609,1,0,0.090001,0.17832580033245898,False
208,1,outside,2,1,valid,high,25,1,1,0.36022511428927795,1,1,0.090001,0.08207544362630909,False
209,1,outside,2,2,invalid,high,1,0,0,0.37773289960568895,1,0,0.090001,0.07254614528210401,False
210,1,outside,2,2,invalid,high,4,0,0,0.45178551160825,1,1,0.090001,0.075512201370657,False
211,1,outside,2,1,valid,high,11,0,0,0.479910517051394,1,0,0.090001,0.085267703712816,False
212,1,outside,2,1,valid,high,36,1,1,0.563083120099691,1,0,0.090001,0.13323517418575703,False
213,1,outside,2,1,valid,high,35,1,1,0.478537823197257,1,1,0.090001,0.08525875467057697,False
214,1,outside,2,1,valid,high,32,1,1,0.34373178501846297,1,0,0.090001,0.09424184304953098,False
215,1,outside,2,2,invalid,high,25,1,1,0.428563871699225,1,0,0.090001,0.06833875740994705,False
216,1,outside,2,3,valid,low,69,1,1,0.43303937503515005,1,0,0.090001,0.071957376987484,False
217,1,outside,2,2,invalid,high,29,1,1,0.37220969666122994,1,1,0.090001,0.0758490878670271,False
219,1,outside,2,2,invalid,high,20,1,1,0.41828798646565707,1,1,0.090001,0.06795020680874592,False
220,1,outside,2,2,invalid,high,19,1,1,0.36179250763598203,1,0,0.090001,0.08320185349657594,False
221,1,outside,2,4,invalid,low,53,0,0,0.333033523451377,1,0,0.090001,0.10456982279720195,False
222,1,outside,2,2,invalid,high,10,0,0,0.371152990788687,1,0,0.090001,0.07690579373957002,False
223,1,outside,2,2,invalid,high,23,1,1,0.5142106818766479,1,0,0.090001,0.1029016513566599,False
224,1,outside,2,1,valid,high,21,1,1,0.43228518755859097,1,0,0.090001,0.07120318951092491,False
225,1,outside,2,1,valid,high,23,1,1,0.284288531320271,1,1,0.090001,0.15235212996776698,False
226,1,outside,2,4,invalid,low,64,1,1,0.304940674350291,1,1,0.090001,0.13169998693774698,False
227,1,outside,2,1,valid,high,28,1,1,0.315614867799013,1,1,0.090001,0.12102579348902498,False
228,1,outside,2,4,invalid,low,60,1,1,0.527153577937497,1,1,0.090001,0.11055213121471691,False
229,1,outside,2,3,valid,low,61,1,1,0.341487068424613,1,1,0.090001,0.09648655964338093,False
230,1,outside,2,2,invalid,high,31,1,1,0.407192899481743,1,0,0.090001,0.064711076833191,False
231,1,outside,2,2,invalid,high,13,0,0,0.468442008495913,1,0,0.090001,0.08127759816488794,False
232,1,outside,2,4,invalid,low,43,0,0,0.473838384843475,1,0,0.090001,0.08522653862201002,False
233,1,outside,2,4,invalid,low,66,1,0,0.407743095094702,0,1,0.090001,0.06524815116608801,False
234,1,outside,2,2,invalid,high,27,1,1,0.49019814774510495,1,0,0.090001,0.09177723181892394,False
235,1,outside,2,1,valid,high,13,0,0,0.326247241831879,1,0,0.090001,0.11039341945615899,False
236,1,outside,2,1,valid,high,19,1,1,0.318845608513584,1,1,0.090001,0.11779505277445396,False
237,1,outside,2,3,valid,low,37,0,0,0.496516043960582,1,1,0.090001,0.09487400311991201,False
238,1,outside,2,1,valid,high,20,1,1,0.319409880765306,1,0,0.090001,0.11723078052273195,False
239,1,outside,2,4,invalid,low,44,0,0,0.46269183776348705,1,0,0.090001,0.08314827618414694,False
240,1,outside,2,2,invalid,high,18,0,0,0.46138099852578296,1,0,0.090001,0.08243723418127102,False
241,1,outside,2,2,invalid,high,6,0,0,0.640644691715352,1,0,0.090001,0.20511958302449795,False
242,1,outside,2,4,invalid,low,41,0,0,0.37580679077291296,1,0,0.090001,0.07288904009874408,False
243,1,outside,2,2,invalid,high,15,0,0,0.415369387412284,1,1,0.090001,0.06885279859670901,False
244,1,outside,2,1,valid,high,33,1,0,0.360632403890122,0,1,0.090001,0.08229219602435506,False
245,1,outside,2,3,valid,low,55,1,1,0.46823574267364204,1,0,0.090001,0.08107133234261699,False
246,1,outside,2,4,invalid,low,62,1,1,0.638210311177318,1,1,0.090001,0.20268520248646393,False
247,1,outside,2,3,valid,low,62,1,1,0.36996736349101395,1,0,0.090001,0.07809142103724309,False
