"subj_idx","status","runid","condition","cue","coherence","image_index","stim","response","rt","accuracy","stimulus_side"
"002","inside","01",3,"valid","low",69,1,0,1.00889596160937,0,1
"002","inside","01",3,"valid","low",47,0,0,0.594483144834157,1,1
"002","inside","01",2,"invalid","high",4,0,0,0.783311381371391,1,0
"002","inside","01",1,"valid","high",21,1,1,0.575706896319616,1,1
"002","inside","01",1,"valid","high",27,1,1,0.63267524747846,1,0
"002","inside","01",2,"invalid","high",10,0,0,0.647521996745127,1,1
"002","inside","01",1,"valid","high",23,1,1,0.424355751567418,1,0
"002","inside","01",3,"valid","low",55,1,1,0.612160209397985,1,1
"002","inside","01",2,"invalid","high",29,1,1,0.450282406057795,1,0
"002","inside","01",1,"valid","high",5,0,1,0.739406651914464,0,0
"002","inside","01",4,"invalid","low",57,1,1,0.503160645521916,1,0
"002","inside","01",3,"valid","low",59,1,1,0.501961712415778,1,0
"002","inside","01",3,"valid","low",60,1,1,0.600672167682319,1,1
"002","inside","01",4,"invalid","low",61,1,1,0.581008856242988,1,0
"002","inside","01",1,"valid","high",9,0,1,0.545954746726238,0,0
"002","inside","01",3,"valid","low",51,0,0,1.49161457824766,1,1
"002","inside","01",2,"invalid","high",24,1,1,0.539415536842171,1,0
"002","inside","01",3,"valid","low",54,0,0,0.639199246295902,1,0
"002","inside","01",2,"invalid","high",26,1,1,0.708446771512058,1,1
"002","inside","01",2,"invalid","high",28,1,1,0.480354422121081,1,0
"002","inside","01",3,"valid","low",44,0,0,0.682638740392008,1,1
"002","inside","01",2,"invalid","high",36,1,1,0.481857781446251,1,0
"002","inside","01",4,"invalid","low",59,1,1,0.568507957652173,1,1
"002","inside","01",2,"invalid","high",5,0,0,0.931918968171658,1,1
"002","inside","01",4,"invalid","low",54,0,0,0.625144851103187,1,1
"002","inside","01",2,"invalid","high",7,0,0,0.536349569730078,1,1
"002","inside","01",4,"invalid","low",47,0,0,0.656575435099512,1,0
"002","inside","01",4,"invalid","low",40,0,0,0.693289764551537,1,0
"002","inside","02",2,"invalid","high",4,0,0,0.701823605427762,1,1
"002","inside","02",4,"invalid","low",53,0,0,0.499149720763398,1,1
"002","inside","02",2,"invalid","high",27,1,1,0.449779764434425,1,0
"002","inside","02",3,"valid","low",37,0,0,0.569678279271557,1,1
"002","inside","02",3,"valid","low",59,1,1,0.611009930747059,1,0
"002","inside","02",3,"valid","low",49,0,1,0.675235077829029,0,1
"002","inside","02",4,"invalid","low",57,1,1,0.698539611469187,1,1
"002","inside","02",2,"invalid","high",34,1,1,0.808866484606824,1,0
"002","inside","02",3,"valid","low",58,1,1,0.609994245212874,1,0
"002","inside","02",1,"valid","high",5,0,0,0.681619430053388,1,1
"002","inside","02",1,"valid","high",25,1,1,0.739745093459305,1,0
"002","inside","02",1,"valid","high",35,1,1,1.38772961603536,1,0
"002","inside","02",1,"valid","high",15,0,0,0.672529538469689,1,0
"002","inside","02",1,"valid","high",30,1,1,0.684925061906142,1,1
"002","inside","02",2,"invalid","high",6,0,0,0.790581634791579,1,0
"002","inside","02",1,"valid","high",7,0,0,0.626834185092093,1,0
"002","inside","02",1,"valid","high",32,1,1,1.08695948730565,1,1
"002","inside","02",2,"invalid","high",22,1,1,2.02375198948607,1,1
"002","inside","02",4,"invalid","low",52,0,0,0.614425915714037,1,1
"002","inside","02",4,"invalid","low",69,1,0,0.974801163192296,0,1
"002","inside","02",2,"invalid","high",2,0,0,0.687993795624834,1,1
"002","inside","02",4,"invalid","low",71,1,1,0.7096519198235,1,0
"002","inside","02",2,"invalid","high",36,1,1,0.629896034491821,1,0
"002","inside","02",2,"invalid","high",11,0,0,0.581392155623007,1,1
"002","inside","02",3,"valid","low",67,1,1,0.509374451039776,1,0
"002","inside","02",1,"valid","high",14,0,0,0.592476265491086,1,0
"002","inside","02",2,"invalid","high",19,1,1,0.684650088102899,1,1
"002","inside","02",4,"invalid","low",67,1,1,0.622069220479716,1,0
"002","inside","02",2,"invalid","high",10,0,0,0.709348093348126,1,0
"002","inside","02",1,"valid","high",36,1,1,0.487302522494019,1,0
"002","inside","02",2,"invalid","high",26,1,1,0.652349257125707,1,1
"002","inside","02",1,"valid","high",4,0,0,0.631636277316147,1,0
"002","inside","02",2,"invalid","high",23,1,1,0.484903090918579,1,0
"002","inside","02",4,"invalid","low",55,1,1,0.57403200710678,1,1
"002","inside","02",3,"valid","low",62,1,1,0.526039843288117,1,1
"002","inside","02",3,"valid","low",64,1,1,0.517393282813146,1,0
"002","inside","02",2,"invalid","high",21,1,1,0.580937698085108,1,1
"002","inside","02",4,"invalid","low",45,0,1,0.81179200663837,0,0
"002","inside","02",2,"invalid","high",31,1,1,0.475652417707124,1,0
"002","inside","02",4,"invalid","low",37,0,0,0.738033663792294,1,0
"002","inside","02",4,"invalid","low",68,1,1,0.458309502818565,1,0
"002","inside","02",2,"invalid","high",14,0,0,0.745879246939694,1,0
